o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HQB,2021,9,115,111,75.919,75.919,93.75,93.75,171.169,171.169,-22.22,26,0,41.779,0.9,0.9,5.609,29.132,170.974,39.956,34.741,29.132,29.132,5.473,1,7,3,7,171,3.7,1.9,4.2,0,0,0,0,0,,,,,,,
HQB,2021,10,687.225,420,540.771,460.797,1101.02,1203.541,1650.8,1664.338,190.328,26,10.627,173.164,9.6,9.6,62.604,204.801,1658.906,928.707,267.244,204.64,204.64,103.791,1,7,3,7,1658.9,17.3,20.9,29.2,0,0,0,0,0,,,,,,,
HQB,2021,11,765.5809,438,602.429,440.491,1137.435,855.51,1749.9,1296.001,185.691,26,4.759,194.739,8.9,8.9,56.5,175.592,1297.666,378.196,232.093,175.592,175.592,73.648,1,7,3,6,1297.7,17.4,18.8,29.3,0,0,0,0,0,,,,,,,
HQB,2021,12,814.5875,512,640.992,597.995,1210.244,839.369,1861.914,1445.521,292.32,26,10.38,267.348,9.7,9.7,49.178,269.546,1431.862,594.079,318.724,269.546,269.546,90.886,1,7,3,6,1431.9,17.8,16.4,44.9,0,0,0,0,0,,,,,,,
HQB,2022,1,319,468,307.633,508.791,643.276,454.28,950.927,963.071,209.719,26,68.225,149.762,5.1,5.1,43.199,242.505,961.335,339.462,285.704,243.005,243.005,87.179,1,7,3,6,961.3,14.1,14.2,40.5,0,0,0,0,0,,,,,,,
HQB,2022,2,260,279,250.736,285.254,524.3,509.287,775.05,794.541,57.006,26,21.637,72.296,3.6,3.6,38.388,149.333,791.31,386.466,187.721,149.333,149.333,57.097,1,7,3,6,791.3,9.3,12.8,24.9,0,0,0,0,0,,,,,,,
HQB,2022,3,409,415,394.427,407.145,824.765,902.706,1219.214,1309.851,144.193,26,59.63,143.334,5.34,5.34,47.647,151.194,1305.567,252.371,198.841,151.194,151.194,60.147,1,8,2,6,1305.6,13,23.8,25.2,0,0,0,0,0,,,,,,,
HQB,2022,4,429,401,413.714,492.313,865.096,876.504,1278.833,1368.817,200.075,26,62.017,147.37,4.5,4.5,63.933,214.493,1366.988,349.599,278.426,214.493,214.493,105.322,1,8,2,6,1367,11.9,32,35.7,0,0,0,0,0,,,,,,,
HQB,2022,5,430,475,414.678,536.264,867.112,796.804,1281.814,1333.068,239.109,26,4.17,230.297,2.46,2.46,73.565,225.772,1328.752,404.765,299.222,225.657,225.657,93.032,1,8,2,6,1328.8,12.8,36.8,37.6,0,0,0,0,0,,,,,,,
HQB,2022,6,447,413,431.073,434.778,901.393,1028.748,1332.49,1463.526,154.39,26,26.508,131.959,10.425,10.425,54.068,211.817,1462.499,604.82,265.886,211.817,211.817,102.747,2,8,2,6,731.2,14.7,27,35.3,0,0,0,0,0,,,,,,,
HQB,2022,7,470,389,453.253,454.166,901.393,955.253,1354.672,1409.419,181.493,26,4.34,131.468,29.265,29.265,76.799,212.293,1407.786,594.088,289.093,212.293,212.293,82.032,2,8,2,6,703.9,15.5,38.4,35.4,0,0,0,0,0,,,,,,,
HQB,2022,8,520,391,501.471,426.339,1048.601,1139.151,1550.101,1565.49,160.225,26,21.875,136.555,24.66,24.66,68.134,175.115,1564.581,553.636,243.249,175.115,175.115,89.99,3,8,3,6,521.5,17.6,22.7,29.2,0,0,0,0,0,,,,,,,
HQB,2022,9,525,338,506.293,313.402,1058.683,641.969,1565.005,955.371,84.572,26,26.726,110.069,21.12,21.12,25.234,130.253,952.291,213.052,155.487,130.253,130.253,64.194,3,8,3,6,317.4,12.6,8.4,21.7,0,0,0,0,0,,,,,,,
HQB,2022,10,485.8161,382,468.506,507.427,979.668,903.328,1448.2,1410.755,212.539,26,3.78,130.739,18.435,18.435,76.633,277.839,1409.271,792.759,354.472,277.839,277.839,99.725,4,8,3,6,352.3,13.4,25.5,46.3,0,0,0,0,0,,,,,,,
